group	block1group	word	cluster	sonDiff	corr_file	comparison_file	repair	whoIsCorrect	sylls
2	4	snowman	sn	1	tee-snowman2.wav	boo-sowman1.wav	med_del	tee	2
4	2	swimming	sw	3	tee-swimming2.wav	boo-wimming2.wav	init_del	tee	2
8	6	swimming	sw	3	tee-swimming2.wav	boo-wimming2.wav	init_del	tee	2
6	6	clock	kl	3	boo-clock2.wav	tee-Eclock2.wav	init_epen	boo	1
2	2	clock	kl	3	boo-clock2.wav	tee-Eclock2.wav	init_epen	boo	1
2	2	closet	kl	3	boo-closet2.wav	tee-Ecloset1.wav	init_epen	boo	2
6	6	closet	kl	3	boo-closet2.wav	tee-Ecloset1.wav	init_epen	boo	2
3	3	flip	fl	2	boo-flip3.wav	tee-Eflip1.wav	init_epen	boo	1
7	7	flip	fl	2	boo-flip3.wav	tee-Eflip1.wav	init_epen	boo	1
7	7	flower	fl	2	boo-flower1.wav	tee-Eflower2.wav	init_epen	boo	2
3	3	flower	fl	2	boo-flower1.wav	tee-Eflower2.wav	init_epen	boo	2
4	4	freezer	fr	2	boo-freezer2.wav	tee-Efreezer2.wav	init_epen	boo	2
8	8	freezer	fr	2	boo-freezer2.wav	tee-Efreezer2.wav	init_epen	boo	2
8	8	frog	fr	2	boo-frog2.wav	tee-Efrog2.wav	init_epen	boo	1
4	4	frog	fr	2	boo-frog2.wav	tee-Efrog2.wav	init_epen	boo	1
8	1	piano	mj	2	boo-pjano1.wav	tee-Epjano3.wav	init_epen	boo	2
4	5	piano	mj	2	boo-pjano1.wav	tee-Epjano3.wav	init_epen	boo	2
5	4	planet	pl	3	boo-planet1.wav	tee-Eplanet2.wav	init_epen	boo	2
1	8	planet	pl	3	boo-planet1.wav	tee-Eplanet2.wav	init_epen	boo	2
1	8	plate	pl	3	boo-plate1.wav	tee-Eplate2.wav	init_epen	boo	1
5	4	plate	pl	3	boo-plate1.wav	tee-Eplate2.wav	init_epen	boo	1
4	5	skateboard	sk	-1	boo-skateboard1.wav	tee-Eskateboard2.wav	init_epen	boo	2
8	1	skateboard	sk	-1	boo-skateboard1.wav	tee-Eskateboard2.wav	init_epen	boo	2
7	1	skis	sk	-1	boo-skis1.wav	tee-Eskis1.wav	init_epen	boo	1
3	5	skis	sk	-1	boo-skis1.wav	tee-Eskis1.wav	init_epen	boo	1
5	3	slide	sl	2	boo-slide2.wav	tee-Eslide1.wav	init_epen	boo	1
1	7	slide	sl	2	boo-slide2.wav	tee-Eslide1.wav	init_epen	boo	1
5	6	smoke	sm	1	boo-smoke2.wav	tee-Esmoke2.wav	init_epen	boo	1
1	2	smoke	sm	1	boo-smoke2.wav	tee-Esmoke2.wav	init_epen	boo	1
2	1	snake	sn	1	boo-snake2.wav	tee-Esnake1.wav	init_epen	boo	1
6	5	snake	sn	1	boo-snake2.wav	tee-Esnake1.wav	init_epen	boo	1
2	5	snowman	sn	1	boo-snowman2.wav	tee-Esnowman2.wav	init_epen	boo	2
6	1	snowman	sn	1	boo-snowman2.wav	tee-Esnowman2.wav	init_epen	boo	2
1	6	spoon	sp	-1	boo-spoon1.wav	tee-Espoon2.wav	init_epen	boo	1
5	2	spoon	sp	-1	boo-spoon1.wav	tee-Espoon2.wav	init_epen	boo	1
7	8	swing	sw	3	boo-swing2.wav	tee-Eswing1.wav	init_epen	boo	1
3	4	swing	sw	3	boo-swing2.wav	tee-Eswing1.wav	init_epen	boo	1
4	3	piano	mj	2	boo-pjano1.wav	tee-jano2.wav	init_del	boo	2
8	7	piano	mj	2	boo-pjano1.wav	tee-jano2.wav	init_del	boo	2
7	7	skateboard	sk	-1	boo-skateboard1.wav	tee-kateboard2.wav	init_del	boo	2
3	3	skateboard	sk	-1	boo-skateboard1.wav	tee-kateboard2.wav	init_del	boo	2
3	3	skis	sk	-1	boo-skis1.wav	tee-kis2.wav	init_del	boo	1
7	7	skis	sk	-1	boo-skis1.wav	tee-kis2.wav	init_del	boo	1
2	2	planet	pl	3	boo-planet1.wav	tee-lanet1.wav	init_del	boo	2
6	6	planet	pl	3	boo-planet1.wav	tee-lanet1.wav	init_del	boo	2
6	6	plate	pl	3	boo-plate1.wav	tee-late2.wav	init_del	boo	1
2	2	plate	pl	3	boo-plate1.wav	tee-late2.wav	init_del	boo	1
5	1	slide	sl	2	boo-slide2.wav	tee-lide1.wav	init_del	boo	1
1	5	slide	sl	2	boo-slide2.wav	tee-lide1.wav	init_del	boo	1
